Qubits,Method,CZ Operations,Error
2,SEEQST,0,0.016602
2,SEEQST,1,0.018787
2,Standard QST,0,0.014339
3,SEEQST,0,0.005078
3,SEEQST,1,0.006073
3,SEEQST,4,0.005089
3,SEEQST,2,0.020461
3,Standard QST,0,0.005329
4,SEEQST,0,0.002727
4,SEEQST,4,0.002282
4,SEEQST,1,0.001854
4,SEEQST,2,0.002588
4,SEEQST,5,0.003126
4,SEEQST,3,0.010107
4,Standard QST,0,0.002020
5,SEEQST,0,0.001462
5,SEEQST,4,0.001741
5,SEEQST,1,0.000985
5,SEEQST,2,0.001124
5,SEEQST,5,0.000999
5,SEEQST,3,0.001392
5,SEEQST,7,0.000984
5,SEEQST,8,0.000927
5,SEEQST,6,0.001219
5,Standard QST,0,0.000709
