N,AD_coefficient,Fidelity F,std_F,type
5,0.0,0.9847764936913215,0.001048707671139753,SEEQST
5,0.005727644230309394,0.9836969921606605,0.001220331556912491,SEEQST
5,0.012078600720769734,0.9806065137869432,0.0014081849570678042,SEEQST
5,0.019120701577921152,0.9759578715882357,0.0015421259880910583,SEEQST
5,0.026929160753603264,0.9694264761236081,0.0018120311979531003,SEEQST
5,0.035587377376044206,0.9613114056179326,0.0023562400421163576,SEEQST
5,0.04518782650364872,0.9518222577279906,0.00280146709060514,SEEQST
5,0.05583304681528118,0.9401744071781063,0.003640164638624175,SEEQST
5,0.06763673578618123,0.9277337756271353,0.0044005596224864045,SEEQST
5,0.0807249640466616,0.9126624159868932,0.004932421563699857,SEEQST
5,0.09523752189368309,0.8948641989085224,0.005690926664699185,SEEQST
5,0.11132941233687553,0.8749079311110769,0.006157736546335386,SEEQST
5,0.12917250662565072,0.8501514440135366,0.006444606909233465,SEEQST
5,0.14895737993945132,0.8221047905426496,0.007879771703226582,SEEQST
5,0.17089534684743254,0.7893901339791931,0.008261268866050215,SEEQST
5,0.19522071827753298,0.751205988981422,0.00934478152514179,SEEQST
5,0.22219330410074656,0.7079688584456677,0.010011281989683108,SEEQST
5,0.2521011880597303,0.6617934859433162,0.011242253026489181,SEEQST
5,0.28526380467968454,0.6124861746996851,0.012089870989513899,SEEQST
5,0.3220353510247982,0.5602858493052114,0.01286850705977392,SEEQST
5,0.36280856973991177,0.5085022996355273,0.014950557414223789,SEEQST
5,0.4080189437825957,0.4617294480181556,0.015090305224593013,SEEQST
5,0.45814934764795806,0.41877869439368,0.01637008485753227,SEEQST
5,0.5137352047641086,0.37387745611280904,0.017707673189211365,SEEQST
5,0.5753702061424232,0.3320677046273486,0.017900788493848543,SEEQST
5,0.6437126513613006,0.29258849800906256,0.017742723186893412,SEEQST
5,0.7194924796089978,0.26357777510531644,0.01688854046153845,SEEQST
5,0.8035190658813932,0.23957949342497534,0.01693005890207172,SEEQST
5,0.8966898656028465,0.2064980359138739,0.016126183179831735,SEEQST
5,1.0,0.1761367290135444,0.01592179832163381,SEEQST
5,0.0,0.9927411934739647,0.0005785459837458456,Standard QST
5,0.005727644230309394,0.9924327648099108,0.0006626840765148253,Standard QST
5,0.012078600720769734,0.9913390401946728,0.0006149458953317404,Standard QST
5,0.019120701577921152,0.9895219022933988,0.0008797114416155706,Standard QST
5,0.026929160753603264,0.9872550773299954,0.0012564166674094005,Standard QST
5,0.035587377376044206,0.9838807977615548,0.0012484665823233167,Standard QST
5,0.04518782650364872,0.9798012632623898,0.001774449418747738,Standard QST
5,0.05583304681528118,0.9743495500482554,0.001726697574489156,Standard QST
5,0.06763673578618123,0.9681821308122133,0.002160047228621615,Standard QST
5,0.0807249640466616,0.960486662731837,0.0021445317409159695,Standard QST
5,0.09523752189368309,0.9516818796520162,0.0025523972025328083,Standard QST
5,0.11132941233687553,0.9407995383258371,0.0031778288225223937,Standard QST
5,0.12917250662565072,0.9283013037402102,0.0031108968684200535,Standard QST
5,0.14895737993945132,0.9134009430283782,0.0037267747697653482,Standard QST
5,0.17089534684743254,0.8958545576315037,0.0043914928704276,Standard QST
5,0.19522071827753298,0.8755466456025507,0.0051093981702948045,Standard QST
5,0.22219330410074656,0.8510921257231222,0.005698357503939591,Standard QST
5,0.2521011880597303,0.8215223016890573,0.006452861006067557,Standard QST
5,0.28526380467968454,0.7860827094701835,0.007125876264240061,Standard QST
5,0.3220353510247982,0.7430918829806779,0.008798989912031178,Standard QST
5,0.36280856973991177,0.6900464598260531,0.00960009021231685,Standard QST
5,0.4080189437825957,0.6235980832935665,0.01136298734034359,Standard QST
5,0.45814934764795806,0.5377429471185593,0.013630814616788509,Standard QST
5,0.5137352047641086,0.4248668588125194,0.015411156884758418,Standard QST
5,0.5753702061424232,0.24179102828297766,0.01423147732626105,Standard QST
5,0.6437126513613006,0.18155354172932517,0.01462069626770212,Standard QST
5,0.7194924796089978,0.18124759873569357,0.014626902095743442,Standard QST
5,0.8035190658813932,0.18098392607614106,0.014663475633719395,Standard QST
5,0.8966898656028465,0.1807556051152212,0.014680648819562573,Standard QST
5,1.0,0.18055487475110032,0.014692776148987284,Standard QST
