N,depol_probability,Fidelity F,std_F,type
5,0.0,0.984934194652743,0.0008366624226098271,SEEQST
5,0.005727644230309394,0.9842535203138039,0.0009348351788115964,SEEQST
5,0.012078600720769734,0.98232340729481,0.0011657425897607118,SEEQST
5,0.019120701577921152,0.97889551408991,0.0011608103260789982,SEEQST
5,0.026929160753603264,0.974668924049791,0.0018309275861615143,SEEQST
5,0.035587377376044206,0.9694785133738612,0.0020958576144878786,SEEQST
5,0.04518782650364872,0.9630302190918336,0.001683644605573315,SEEQST
5,0.05583304681528118,0.955318370915275,0.0024897242826444,SEEQST
5,0.06763673578618123,0.9474387646061302,0.0030751273205985746,SEEQST
5,0.0807249640466616,0.9388772135856083,0.0033030821363973194,SEEQST
5,0.09523752189368309,0.928744541632018,0.0035713650596550057,SEEQST
5,0.11132941233687553,0.9195719089820085,0.004185009251200042,SEEQST
5,0.12917250662565072,0.9085512346491942,0.0052604878017749,SEEQST
5,0.14895737993945132,0.8985161315253287,0.004922683145830391,SEEQST
5,0.17089534684743254,0.8888426316332845,0.005592636342406145,SEEQST
5,0.19522071827753298,0.8791675151383518,0.006043867343014799,SEEQST
5,0.22219330410074656,0.869507313525816,0.006513931377483932,SEEQST
5,0.2521011880597303,0.8608445088393345,0.007005886038407228,SEEQST
5,0.28526380467968454,0.8524314418114229,0.007328740128730804,SEEQST
5,0.3220353510247982,0.844672711531581,0.007976859698728982,SEEQST
5,0.36280856973991177,0.838607579991043,0.008270301588581571,SEEQST
5,0.4080189437825957,0.8316528781301654,0.00933533843127313,SEEQST
5,0.45814934764795806,0.8273873185319512,0.008937001189864555,SEEQST
5,0.5137352047641086,0.8229328483380062,0.009222994909855044,SEEQST
5,0.5753702061424232,0.8195508124592467,0.009713555919036386,SEEQST
5,0.6437126513613006,0.8166545669371176,0.009331486623305331,SEEQST
5,0.7194924796089978,0.8146083933726364,0.010520068437170214,SEEQST
5,0.8035190658813932,0.8129959919621633,0.010463795355568403,SEEQST
5,0.8966898656028465,0.8119917343253318,0.009686084921188906,SEEQST
5,1.0,0.811054538765002,0.010298631913817179,SEEQST
5,0.0,0.9925660934749262,0.0006622346773132515,Standard QST
5,0.005727644230309394,0.992451382452364,0.0006253134793794732,Standard QST
5,0.012078600720769734,0.9917522804327941,0.0006440931777847227,Standard QST
5,0.019120701577921152,0.9905700212832653,0.0005975569345303518,Standard QST
5,0.026929160753603264,0.9890435707952299,0.0008349735005111183,Standard QST
5,0.035587377376044206,0.9864706149073857,0.0010880894344618647,Standard QST
5,0.04518782650364872,0.9834614446894511,0.0011109202112827008,Standard QST
5,0.05583304681528118,0.9797658716259737,0.0013673336007857515,Standard QST
5,0.06763673578618123,0.9752172653142579,0.0017712155907573279,Standard QST
5,0.0807249640466616,0.9704318903836627,0.0017197505736243645,Standard QST
5,0.09523752189368309,0.9641376669778974,0.0024428064072506634,Standard QST
5,0.11132941233687553,0.9578734220438242,0.0021022416160181114,Standard QST
5,0.12917250662565072,0.9504870651414787,0.0026090657494857667,Standard QST
5,0.14895737993945132,0.9423544290574185,0.0034266831282471623,Standard QST
5,0.17089534684743254,0.9336508770544872,0.0037587380095573993,Standard QST
5,0.19522071827753298,0.924125178435403,0.004042148701517868,Standard QST
5,0.22219330410074656,0.9141155010714203,0.004533134307117545,Standard QST
5,0.2521011880597303,0.9033624466145808,0.00502354280463836,Standard QST
5,0.28526380467968454,0.8920267985934629,0.00563246293656068,Standard QST
5,0.3220353510247982,0.8812914739486886,0.006341329009672405,Standard QST
5,0.36280856973991177,0.8706136533061594,0.006906308793696699,Standard QST
5,0.4080189437825957,0.8599649501924425,0.00699227027645399,Standard QST
5,0.45814934764795806,0.8494387874469977,0.007858845705460873,Standard QST
5,0.5137352047641086,0.8399958650102672,0.008425633965678995,Standard QST
5,0.5753702061424232,0.832193063198391,0.008628562085435146,Standard QST
5,0.6437126513613006,0.8258968755669325,0.009272400070569694,Standard QST
5,0.7194924796089978,0.821446986111944,0.010082796448068466,Standard QST
5,0.8035190658813932,0.8180624346664124,0.009144797159610054,Standard QST
5,0.8966898656028465,0.8162977007949311,0.00972588375199798,Standard QST
5,1.0,0.8143841389816592,0.010159931931873725,Standard QST
